淘宝网,60
顺丰优选,6
京东,5
飞牛,14
云猴,11
贝贝网,12
聚美优品,100000
天猫,10
沱沱工社,8
本来生活网,13
当当网,74
蜜芽网,100033
国美,102109
亚马逊,102104
苏宁,7
中粮我买网,9
麦乐购,4
网易考拉,3
一号店,2
沃尔玛,102103
优酷,32
土豆,33
腾讯视频,35
乐视,36
芒果TV,40
酷6视频,43
哔哩哔哩,44
PPTV聚力,45
搜狐视频,46
爱奇艺,47
